fontecontato,ranking,score,idusuarioinclusao,idinterno,tipopessoa,cnpjcpf
ERP,1,1.0,1187,845637,Jurídica,30617870000175
ECONODATA,0,,1752,1643336,Jurídica,21861479000120
ERP,5,,1187,933219,Jurídica,46127635000236
ERP,5,,1187,901600,Jurídica,00202187000106
ERP,0,,1187,845115,Jurídica,21598663000120
ERP,1,1.0,1187,1649146,Jurídica,29678871000140
ERP,1,1.0,1187,842866,Jurídica,04354649000161
Ligação / Visita Receptiva/ Cliente Contatou,3,,1344,1431754,Jurídica,00805870000138
ERP,0,,1187,841689,Jurídica,64999527000154
ECONODATA,0,,1752,1652310,Jurídica,33071154000123
ERP,0,,1187,844631,Jurídica,01481058000167
ERP,1,1.0,1187,845457,Jurídica,03717123000136
ERP,0,,1187,841326,Jurídica,06216762000106
ECONODATA,0,,1752,1601169,Jurídica,08970636000178
Ações de Marketing (Internet/Site),0,,1328,1544433,Jurídica,97191621000131
Indicação,0,,1328,917088,Jurídica,73282196000209
Indicação,0,,1328,918423,Jurídica,03011796000176
ERP,1,1.0,1328,914047,Jurídica,07605153000101
ERP,1,1.0,1187,843421,Jurídica,04695131000191
ECONODATA,0,,1752,1652245,Jurídica,09258338000112
ERP,1,1.0,1187,1541980,Jurídica,27314690000100
ERP,0,,1187,843419,Jurídica,09438548000192
ECONODATA,0,,1752,1628757,Jurídica,04776066000129
ECONODATA,0,,1718,1492875,Jurídica,57347437000113
ECONODATA,0,,1752,1524654,Jurídica,21639058000150
ERP,1,1.0,1187,920953,Jurídica,06059085000160
ERP,1,1.0,1187,844264,Jurídica,16820610000171
ERP,1,1.0,1187,841218,Jurídica,50908433000118
ERP,1,1.0,1187,841168,Jurídica,93831832000130
ERP,1,1.0,1187,841937,Jurídica,59275792000150
Indicação,0,,1328,1292659,Jurídica,02472346000118
Indicação,0,,1328,1228584,Jurídica,11948807000177
ERP,1,1.0,1187,843722,Jurídica,14309992000148
ERP,0,,1187,1768169,Jurídica,31974489000126
Ações de Marketing (Feira),0,,3002,3225707,Jurídica,10939103000175
Ligação / Visita Receptiva/ Cliente Contatou,0,,1350,1421472,Jurídica,10999568000111
ERP,1,1.0,1187,844263,Jurídica,00061464000108
ERP,1,1.0,1187,842943,Jurídica,10236052000115
ERP,1,1.0,1187,844564,Jurídica,16966239000150
ERP,0,,1187,1651141,Jurídica,00466616000152
ERP,0,,1187,1658050,Jurídica,62011614000126
ECONODATA,0,,1186,1524120,Jurídica,03911452000113
